Model,Asset,Accuracy,What
MLPClassifier,BTCUSDT_1h,0.3951604424636682,F1 VALIDATION
MLPClassifier,BTCUSDT_1h,"{0: 0.5333333333333333, 1: 0.4666666666666667}",DESBALANCEO REAL VAL
MLPClassifier,BTCUSDT_1h,{1: 1.0},DESBALANCEO PREDICCIÓN VAL
MLPClassifier,BTCUSDT_1h,0.5288209108549252,FINAL TEST
MLPClassifier,BTCUSDT_1h,0.3459011497685531,F1 FINAL TEST
MLPClassifier,BTCUSDT_1h,"{1: 0.5288209108549252, 0: 0.4711790891450748}",DESBALANCEO REAL
MLPClassifier,BTCUSDT_1h,{1: 1.0},DESBALANCEO PREDICCIÓN
MLPClassifier,ETHUSDT_1h,0.4600582643047284,F1 VALIDATION
MLPClassifier,ETHUSDT_1h,"{0: 0.5416666666666666, 1: 0.4583333333333333}",DESBALANCEO REAL VAL
MLPClassifier,ETHUSDT_1h,"{1: 0.5416666666666666, 0: 0.4583333333333333}",DESBALANCEO PREDICCIÓN VAL
MLPClassifier,ETHUSDT_1h,0.5073621732678918,FINAL TEST
MLPClassifier,ETHUSDT_1h,0.4933099314398489,F1 FINAL TEST
MLPClassifier,ETHUSDT_1h,"{1: 0.5111288665677434, 0: 0.4888711334322566}",DESBALANCEO REAL
MLPClassifier,ETHUSDT_1h,"{0: 0.6776623673096679, 1: 0.32233763269033217}",DESBALANCEO PREDICCIÓN
MLPClassifier,XRPUSDT_1h,0.50236791584595,F1 VALIDATION
MLPClassifier,XRPUSDT_1h,"{0: 0.5583333333333333, 1: 0.44166666666666665}",DESBALANCEO REAL VAL
MLPClassifier,XRPUSDT_1h,"{1: 0.5833333333333334, 0: 0.4166666666666667}",DESBALANCEO PREDICCIÓN VAL
MLPClassifier,XRPUSDT_1h,0.521287524255222,FINAL TEST
MLPClassifier,XRPUSDT_1h,0.5198999180487234,F1 FINAL TEST
MLPClassifier,XRPUSDT_1h,"{1: 0.5010843511014724, 0: 0.4989156488985276}",DESBALANCEO REAL
MLPClassifier,XRPUSDT_1h,"{0: 0.5548453372902636, 1: 0.4451546627097363}",DESBALANCEO PREDICCIÓN
MLPClassifier,BNBUSDT_1h,0.4520273724705623,F1 VALIDATION
MLPClassifier,BNBUSDT_1h,"{0: 0.5333333333333333, 1: 0.4666666666666667}",DESBALANCEO REAL VAL
MLPClassifier,BNBUSDT_1h,"{1: 0.9166666666666666, 0: 0.08333333333333333}",DESBALANCEO PREDICCIÓN VAL
MLPClassifier,BNBUSDT_1h,0.4760872046570026,FINAL TEST
MLPClassifier,BNBUSDT_1h,0.3272323651285675,F1 FINAL TEST
MLPClassifier,BNBUSDT_1h,"{1: 0.5252825019974888, 0: 0.4747174980025111}",DESBALANCEO REAL
MLPClassifier,BNBUSDT_1h,"{0: 0.9956625955941103, 1: 0.004337404405889739}",DESBALANCEO PREDICCIÓN
MLPClassifier,SOLUSDT_1h,0.43896376701262696,F1 VALIDATION
MLPClassifier,SOLUSDT_1h,"{1: 0.5083333333333333, 0: 0.49166666666666664}",DESBALANCEO REAL VAL
MLPClassifier,SOLUSDT_1h,"{1: 0.7666666666666667, 0: 0.23333333333333334}",DESBALANCEO PREDICCIÓN VAL
MLPClassifier,SOLUSDT_1h,0.5091884488072138,FINAL TEST
MLPClassifier,SOLUSDT_1h,0.41257556059355216,F1 FINAL TEST
MLPClassifier,SOLUSDT_1h,"{1: 0.5071338888254765, 0: 0.49286611117452345}",DESBALANCEO REAL
MLPClassifier,SOLUSDT_1h,"{0: 0.9126812007761671, 1: 0.0873187992238329}",DESBALANCEO PREDICCIÓN
MLPClassifier,ADAUSDT_1h,0.3864123693290963,F1 VALIDATION
MLPClassifier,ADAUSDT_1h,"{1: 0.5083333333333333, 0: 0.49166666666666664}",DESBALANCEO REAL VAL
MLPClassifier,ADAUSDT_1h,{0: 1.0},DESBALANCEO PREDICCIÓN VAL
MLPClassifier,ADAUSDT_1h,0.5215158086976373,FINAL TEST
MLPClassifier,ADAUSDT_1h,0.39007993937420393,F1 FINAL TEST
MLPClassifier,ADAUSDT_1h,"{0: 0.5114712932313663, 1: 0.4885287067686337}",DESBALANCEO REAL
MLPClassifier,ADAUSDT_1h,"{0: 0.9527451204200433, 1: 0.047254879579956624}",DESBALANCEO PREDICCIÓN
MLPClassifier,TRXUSDT_1h,0.48797113618169013,F1 VALIDATION
MLPClassifier,TRXUSDT_1h,"{1: 0.575, 0: 0.425}",DESBALANCEO REAL VAL
MLPClassifier,TRXUSDT_1h,"{1: 0.6083333333333333, 0: 0.39166666666666666}",DESBALANCEO PREDICCIÓN VAL
MLPClassifier,TRXUSDT_1h,0.5184339687250313,FINAL TEST
MLPClassifier,TRXUSDT_1h,0.427477480735794,F1 FINAL TEST
MLPClassifier,TRXUSDT_1h,"{1: 0.5325876041547769, 0: 0.46741239584522315}",DESBALANCEO REAL
MLPClassifier,TRXUSDT_1h,"{1: 0.8659970323022486, 0: 0.13400296769775139}",DESBALANCEO PREDICCIÓN
MLPClassifier,LINKUSDT_1h,0.4807702500908314,F1 VALIDATION
MLPClassifier,LINKUSDT_1h,"{0: 0.575, 1: 0.425}",DESBALANCEO REAL VAL
MLPClassifier,LINKUSDT_1h,"{0: 0.6, 1: 0.4}",DESBALANCEO PREDICCIÓN VAL
MLPClassifier,LINKUSDT_1h,0.502454057755964,FINAL TEST
MLPClassifier,LINKUSDT_1h,0.5015746538386859,F1 FINAL TEST
MLPClassifier,LINKUSDT_1h,"{0: 0.5056500399497774, 1: 0.4943499600502226}",DESBALANCEO REAL
MLPClassifier,LINKUSDT_1h,"{1: 0.5476543773541833, 0: 0.4523456226458167}",DESBALANCEO PREDICCIÓN
MLPClassifier,AVAXUSDT_1h,0.38083581080769524,F1 VALIDATION
MLPClassifier,AVAXUSDT_1h,"{0: 0.5666666666666667, 1: 0.43333333333333335}",DESBALANCEO REAL VAL
MLPClassifier,AVAXUSDT_1h,"{0: 0.8333333333333334, 1: 0.16666666666666666}",DESBALANCEO PREDICCIÓN VAL
MLPClassifier,AVAXUSDT_1h,0.518548110946239,FINAL TEST
MLPClassifier,AVAXUSDT_1h,0.37336569986260604,F1 FINAL TEST
MLPClassifier,AVAXUSDT_1h,"{0: 0.513982422097934, 1: 0.48601757790206596}",DESBALANCEO REAL
MLPClassifier,AVAXUSDT_1h,"{0: 0.9673553247346194, 1: 0.03264467526538067}",DESBALANCEO PREDICCIÓN
RandomForestClassifier,BTCUSDT_1h,0.5234720841981181,F1 VALIDATION
RandomForestClassifier,BTCUSDT_1h,"{0: 0.5333333333333333, 1: 0.4666666666666667}",DESBALANCEO REAL VAL
RandomForestClassifier,BTCUSDT_1h,"{0: 0.725, 1: 0.275}",DESBALANCEO PREDICCIÓN VAL
RandomForestClassifier,BTCUSDT_1h,0.5156945554160484,FINAL TEST
RandomForestClassifier,BTCUSDT_1h,0.5140478097260736,F1 FINAL TEST
RandomForestClassifier,BTCUSDT_1h,"{1: 0.5288209108549252, 0: 0.4711790891450748}",DESBALANCEO REAL
RandomForestClassifier,BTCUSDT_1h,"{0: 0.5870334436708138, 1: 0.41296655632918616}",DESBALANCEO PREDICCIÓN
RandomForestClassifier,ETHUSDT_1h,0.4914608982545161,F1 VALIDATION
RandomForestClassifier,ETHUSDT_1h,"{0: 0.5416666666666666, 1: 0.4583333333333333}",DESBALANCEO REAL VAL
RandomForestClassifier,ETHUSDT_1h,"{1: 0.6083333333333333, 0: 0.39166666666666666}",DESBALANCEO PREDICCIÓN VAL
RandomForestClassifier,ETHUSDT_1h,0.5088460221435909,FINAL TEST
RandomForestClassifier,ETHUSDT_1h,0.5050624626116105,F1 FINAL TEST
RandomForestClassifier,ETHUSDT_1h,"{1: 0.5111288665677434, 0: 0.4888711334322566}",DESBALANCEO REAL
RandomForestClassifier,ETHUSDT_1h,"{0: 0.5985618080127839, 1: 0.4014381919872161}",DESBALANCEO PREDICCIÓN
RandomForestClassifier,XRPUSDT_1h,0.5000736964171614,F1 VALIDATION
RandomForestClassifier,XRPUSDT_1h,"{0: 0.5583333333333333, 1: 0.44166666666666665}",DESBALANCEO REAL VAL
RandomForestClassifier,XRPUSDT_1h,"{0: 0.6333333333333333, 1: 0.36666666666666664}",DESBALANCEO PREDICCIÓN VAL
