Frequency,Asset,Model,Accuracy,Vald/Test
1h,TRXUSDT_1h,MLPClassifier,0.34294465653039463,F1 FINAL TEST
1h,TRXUSDT_1h,MLPClassifier,"{1: 0.5171784042917476, 0: 0.4828215957082525}",DESBALANCEO REAL
1h,TRXUSDT_1h,MLPClassifier,"{1: 0.9976030133546399, 0: 0.002396986645360119}",DESBALANCEO PREDICCIÓN
1h,LINKUSDT_1h,MLPClassifier,0.4985530106134132,F1 VALIDATION
1h,LINKUSDT_1h,MLPClassifier,"{1: 0.5317460317460317, 0: 0.46825396825396826}",DESBALANCEO REAL VAL
1h,LINKUSDT_1h,MLPClassifier,"{1: 0.5079365079365079, 0: 0.49206349206349204}",DESBALANCEO PREDICCIÓN VAL
1h,LINKUSDT_1h,MLPClassifier,0.5219723775824677,FINAL TEST
1h,LINKUSDT_1h,MLPClassifier,0.5074767391887512,F1 FINAL TEST
1h,LINKUSDT_1h,MLPClassifier,"{0: 0.5116995776737815, 1: 0.48830042232621845}",DESBALANCEO REAL
1h,LINKUSDT_1h,MLPClassifier,"{0: 0.6598561808012784, 1: 0.3401438191987216}",DESBALANCEO PREDICCIÓN
1h,AVAXUSDT_1h,MLPClassifier,0.42650551034297735,F1 VALIDATION
1h,AVAXUSDT_1h,MLPClassifier,"{0: 0.5079365079365079, 1: 0.49206349206349204}",DESBALANCEO REAL VAL
1h,AVAXUSDT_1h,MLPClassifier,{1: 1.0},DESBALANCEO PREDICCIÓN VAL
1h,AVAXUSDT_1h,MLPClassifier,0.5135258532131035,FINAL TEST
1h,AVAXUSDT_1h,MLPClassifier,0.33929110105580695,F1 FINAL TEST
1h,AVAXUSDT_1h,MLPClassifier,"{0: 0.5135258532131035, 1: 0.4864741467868965}",DESBALANCEO REAL
1h,AVAXUSDT_1h,MLPClassifier,{0: 1.0},DESBALANCEO PREDICCIÓN
1h,BTCUSDT_1h,RandomForestClassifier,0.5227928266306041,F1 VALIDATION
1h,BTCUSDT_1h,RandomForestClassifier,"{1: 0.5317460317460317, 0: 0.46825396825396826}",DESBALANCEO REAL VAL
1h,BTCUSDT_1h,RandomForestClassifier,"{0: 0.5, 1: 0.5}",DESBALANCEO PREDICCIÓN VAL
1h,BTCUSDT_1h,RandomForestClassifier,0.5131834265494807,FINAL TEST
1h,BTCUSDT_1h,RandomForestClassifier,0.512449131825863,F1 FINAL TEST
1h,BTCUSDT_1h,RandomForestClassifier,"{1: 0.5111288665677434, 0: 0.4888711334322566}",DESBALANCEO REAL
1h,BTCUSDT_1h,RandomForestClassifier,"{0: 0.5499372217783358, 1: 0.4500627782216642}",DESBALANCEO PREDICCIÓN
1h,ETHUSDT_1h,RandomForestClassifier,0.5088575676656495,F1 VALIDATION
1h,ETHUSDT_1h,RandomForestClassifier,"{1: 0.5317460317460317, 0: 0.46825396825396826}",DESBALANCEO REAL VAL
1h,ETHUSDT_1h,RandomForestClassifier,"{1: 0.5555555555555556, 0: 0.4444444444444444}",DESBALANCEO PREDICCIÓN VAL
1h,ETHUSDT_1h,RandomForestClassifier,0.5127268576646502,FINAL TEST
1h,ETHUSDT_1h,RandomForestClassifier,0.512591497319858,F1 FINAL TEST
1h,ETHUSDT_1h,RandomForestClassifier,"{1: 0.5079328843739299, 0: 0.4920671156260701}",DESBALANCEO REAL
1h,ETHUSDT_1h,RandomForestClassifier,"{0: 0.5245976486702432, 1: 0.4754023513297569}",DESBALANCEO PREDICCIÓN
1h,XRPUSDT_1h,RandomForestClassifier,0.5404307227930927,F1 VALIDATION
1h,XRPUSDT_1h,RandomForestClassifier,"{1: 0.5476190476190477, 0: 0.4523809523809524}",DESBALANCEO REAL VAL
1h,XRPUSDT_1h,RandomForestClassifier,"{1: 0.5714285714285714, 0: 0.42857142857142855}",DESBALANCEO PREDICCIÓN VAL
1h,XRPUSDT_1h,RandomForestClassifier,0.522200662024883,FINAL TEST
1h,XRPUSDT_1h,RandomForestClassifier,0.522183175407146,F1 FINAL TEST
1h,XRPUSDT_1h,RandomForestClassifier,"{1: 0.502454057755964, 0: 0.4975459422440361}",DESBALANCEO REAL
1h,XRPUSDT_1h,RandomForestClassifier,"{0: 0.508503595479968, 1: 0.49149640452003196}",DESBALANCEO PREDICCIÓN
1h,BNBUSDT_1h,RandomForestClassifier,0.5240838323604315,F1 VALIDATION
1h,BNBUSDT_1h,RandomForestClassifier,"{1: 0.5158730158730159, 0: 0.48412698412698413}",DESBALANCEO REAL VAL
1h,BNBUSDT_1h,RandomForestClassifier,"{1: 0.6349206349206349, 0: 0.36507936507936506}",DESBALANCEO PREDICCIÓN VAL
1h,BNBUSDT_1h,RandomForestClassifier,0.5098733021344596,FINAL TEST
1h,BNBUSDT_1h,RandomForestClassifier,0.5098132127564339,F1 FINAL TEST
1h,BNBUSDT_1h,RandomForestClassifier,"{1: 0.5145531332039721, 0: 0.48544686679602783}",DESBALANCEO REAL
1h,BNBUSDT_1h,RandomForestClassifier,"{0: 0.5256249286611118, 1: 0.47437507133888823}",DESBALANCEO PREDICCIÓN
1h,SOLUSDT_1h,RandomForestClassifier,0.5237880476906143,F1 VALIDATION
1h,SOLUSDT_1h,RandomForestClassifier,"{1: 0.5476190476190477, 0: 0.4523809523809524}",DESBALANCEO REAL VAL
1h,SOLUSDT_1h,RandomForestClassifier,"{0: 0.5952380952380952, 1: 0.40476190476190477}",DESBALANCEO PREDICCIÓN VAL
1h,SOLUSDT_1h,RandomForestClassifier,0.5190046798310695,FINAL TEST
1h,SOLUSDT_1h,RandomForestClassifier,0.5159409068748384,F1 FINAL TEST
1h,SOLUSDT_1h,RandomForestClassifier,"{1: 0.5053076132861546, 0: 0.49469238671384547}",DESBALANCEO REAL
1h,SOLUSDT_1h,RandomForestClassifier,"{0: 0.5848647414678689, 1: 0.415135258532131}",DESBALANCEO PREDICCIÓN
1h,ADAUSDT_1h,RandomForestClassifier,0.5162902485446228,F1 VALIDATION
1h,ADAUSDT_1h,RandomForestClassifier,"{1: 0.5238095238095238, 0: 0.47619047619047616}",DESBALANCEO REAL VAL
1h,ADAUSDT_1h,RandomForestClassifier,"{0: 0.7063492063492064, 1: 0.29365079365079366}",DESBALANCEO PREDICCIÓN VAL
1h,ADAUSDT_1h,RandomForestClassifier,0.5057641821709851,FINAL TEST
1h,ADAUSDT_1h,RandomForestClassifier,0.5046740796644826,F1 FINAL TEST
1h,ADAUSDT_1h,RandomForestClassifier,"{0: 0.5064490354982308, 1: 0.4935509645017692}",DESBALANCEO REAL
1h,ADAUSDT_1h,RandomForestClassifier,"{0: 0.540463417418103, 1: 0.45953658258189706}",DESBALANCEO PREDICCIÓN
1h,TRXUSDT_1h,RandomForestClassifier,0.5175149491088777,F1 VALIDATION
1h,TRXUSDT_1h,RandomForestClassifier,"{1: 0.5952380952380952, 0: 0.40476190476190477}",DESBALANCEO REAL VAL
1h,TRXUSDT_1h,RandomForestClassifier,"{0: 0.5396825396825397, 1: 0.4603174603174603}",DESBALANCEO PREDICCIÓN VAL
1h,TRXUSDT_1h,RandomForestClassifier,0.5045086177377012,FINAL TEST
1h,TRXUSDT_1h,RandomForestClassifier,0.5030662528964718,F1 FINAL TEST
1h,TRXUSDT_1h,RandomForestClassifier,"{1: 0.5171784042917476, 0: 0.4828215957082525}",DESBALANCEO REAL
1h,TRXUSDT_1h,RandomForestClassifier,"{1: 0.5366967241182513, 0: 0.46330327588174863}",DESBALANCEO PREDICCIÓN
1h,LINKUSDT_1h,RandomForestClassifier,0.4866885501696025,F1 VALIDATION
1h,LINKUSDT_1h,RandomForestClassifier,"{1: 0.5317460317460317, 0: 0.46825396825396826}",DESBALANCEO REAL VAL
1h,LINKUSDT_1h,RandomForestClassifier,"{0: 0.7142857142857143, 1: 0.2857142857142857}",DESBALANCEO PREDICCIÓN VAL
1h,LINKUSDT_1h,RandomForestClassifier,0.5192329642734848,FINAL TEST
1h,LINKUSDT_1h,RandomForestClassifier,0.5186946342727762,F1 FINAL TEST
1h,LINKUSDT_1h,RandomForestClassifier,"{0: 0.5116995776737815, 1: 0.48830042232621845}",DESBALANCEO REAL
1h,LINKUSDT_1h,RandomForestClassifier,"{0: 0.5217440931400525, 1: 0.4782559068599475}",DESBALANCEO PREDICCIÓN
1h,AVAXUSDT_1h,RandomForestClassifier,0.5409625314231807,F1 VALIDATION
1h,AVAXUSDT_1h,RandomForestClassifier,"{0: 0.5079365079365079, 1: 0.49206349206349204}",DESBALANCEO REAL VAL
1h,AVAXUSDT_1h,RandomForestClassifier,"{0: 0.5714285714285714, 1: 0.42857142857142855}",DESBALANCEO PREDICCIÓN VAL
1h,AVAXUSDT_1h,RandomForestClassifier,0.5029106266407944,FINAL TEST
1h,AVAXUSDT_1h,RandomForestClassifier,0.5010847511607865,F1 FINAL TEST
1h,AVAXUSDT_1h,RandomForestClassifier,"{0: 0.5135258532131035, 1: 0.4864741467868965}",DESBALANCEO REAL
1h,AVAXUSDT_1h,RandomForestClassifier,"{0: 0.5469695240269375, 1: 0.45303047597306245}",DESBALANCEO PREDICCIÓN
1h,BTCUSDT_1h,GradientBoostingClassifier,0.516807884939797,F1 VALIDATION
1h,BTCUSDT_1h,GradientBoostingClassifier,"{1: 0.5317460317460317, 0: 0.46825396825396826}",DESBALANCEO REAL VAL
1h,BTCUSDT_1h,GradientBoostingClassifier,"{1: 0.5317460317460317, 0: 0.46825396825396826}",DESBALANCEO PREDICCIÓN VAL
1h,BTCUSDT_1h,GradientBoostingClassifier,0.5047369021801165,FINAL TEST
1h,BTCUSDT_1h,GradientBoostingClassifier,0.5045798241214396,F1 FINAL TEST
1h,BTCUSDT_1h,GradientBoostingClassifier,"{1: 0.5111288665677434, 0: 0.4888711334322566}",DESBALANCEO REAL
1h,BTCUSDT_1h,GradientBoostingClassifier,"{1: 0.506677319940646, 0: 0.493322680059354}",DESBALANCEO PREDICCIÓN
1h,ETHUSDT_1h,GradientBoostingClassifier,0.5131773884094397,F1 VALIDATION
1h,ETHUSDT_1h,GradientBoostingClassifier,"{1: 0.5317460317460317, 0: 0.46825396825396826}",DESBALANCEO REAL VAL
1h,ETHUSDT_1h,GradientBoostingClassifier,"{0: 0.5555555555555556, 1: 0.4444444444444444}",DESBALANCEO PREDICCIÓN VAL
1h,ETHUSDT_1h,GradientBoostingClassifier,0.5202602442643534,FINAL TEST
1h,ETHUSDT_1h,GradientBoostingClassifier,0.5173180871014317,F1 FINAL TEST
1h,ETHUSDT_1h,GradientBoostingClassifier,"{1: 0.5079328843739299, 0: 0.4920671156260701}",DESBALANCEO REAL
1h,ETHUSDT_1h,GradientBoostingClassifier,"{0: 0.5860061636799452, 1: 0.41399383632005476}",DESBALANCEO PREDICCIÓN
1h,XRPUSDT_1h,GradientBoostingClassifier,0.5200383689597718,F1 VALIDATION
1h,XRPUSDT_1h,GradientBoostingClassifier,"{1: 0.5476190476190477, 0: 0.4523809523809524}",DESBALANCEO REAL VAL
1h,XRPUSDT_1h,GradientBoostingClassifier,"{1: 0.5317460317460317, 0: 0.46825396825396826}",DESBALANCEO PREDICCIÓN VAL
1h,XRPUSDT_1h,GradientBoostingClassifier,0.5074763154890994,FINAL TEST
1h,XRPUSDT_1h,GradientBoostingClassifier,0.5074219975470723,F1 FINAL TEST
1h,XRPUSDT_1h,GradientBoostingClassifier,"{1: 0.502454057755964, 0: 0.4975459422440361}",DESBALANCEO REAL
1h,XRPUSDT_1h,GradientBoostingClassifier,"{1: 0.5080470265951376, 0: 0.49195297340486244}",DESBALANCEO PREDICCIÓN
1h,BNBUSDT_1h,GradientBoostingClassifier,0.5077484564356147,F1 VALIDATION
1h,BNBUSDT_1h,GradientBoostingClassifier,"{1: 0.5158730158730159, 0: 0.48412698412698413}",DESBALANCEO REAL VAL
1h,BNBUSDT_1h,GradientBoostingClassifier,"{1: 0.6587301587301587, 0: 0.3412698412698413}",DESBALANCEO PREDICCIÓN VAL
1h,BNBUSDT_1h,GradientBoostingClassifier,0.511243008788951,FINAL TEST
1h,BNBUSDT_1h,GradientBoostingClassifier,0.511241168503893,F1 FINAL TEST
1h,BNBUSDT_1h,GradientBoostingClassifier,"{1: 0.5145531332039721, 0: 0.48544686679602783}",DESBALANCEO REAL
1h,BNBUSDT_1h,GradientBoostingClassifier,"{0: 0.5164935509645018, 1: 0.4835064490354982}",DESBALANCEO PREDICCIÓN
1h,SOLUSDT_1h,GradientBoostingClassifier,0.5223314268015731,F1 VALIDATION
1h,SOLUSDT_1h,GradientBoostingClassifier,"{1: 0.5476190476190477, 0: 0.4523809523809524}",DESBALANCEO REAL VAL
1h,SOLUSDT_1h,GradientBoostingClassifier,"{0: 0.5793650793650794, 1: 0.42063492063492064}",DESBALANCEO PREDICCIÓN VAL
1h,SOLUSDT_1h,GradientBoostingClassifier,0.5196895331583152,FINAL TEST
1h,SOLUSDT_1h,GradientBoostingClassifier,0.5098224610129345,F1 FINAL TEST
1h,SOLUSDT_1h,GradientBoostingClassifier,"{1: 0.5053076132861546, 0: 0.49469238671384547}",DESBALANCEO REAL
1h,SOLUSDT_1h,GradientBoostingClassifier,"{0: 0.647186394247232, 1: 0.35281360575276793}",DESBALANCEO PREDICCIÓN
1h,ADAUSDT_1h,GradientBoostingClassifier,0.5277134505617301,F1 VALIDATION
1h,ADAUSDT_1h,GradientBoostingClassifier,"{1: 0.5238095238095238, 0: 0.47619047619047616}",DESBALANCEO REAL VAL
1h,ADAUSDT_1h,GradientBoostingClassifier,"{0: 0.6031746031746031, 1: 0.3968253968253968}",DESBALANCEO PREDICCIÓN VAL
1h,ADAUSDT_1h,GradientBoostingClassifier,0.503937906631663,FINAL TEST
1h,ADAUSDT_1h,GradientBoostingClassifier,0.5039360388411769,F1 FINAL TEST
1h,ADAUSDT_1h,GradientBoostingClassifier,"{0: 0.5064490354982308, 1: 0.4935509645017692}",DESBALANCEO REAL
1h,ADAUSDT_1h,GradientBoostingClassifier,"{1: 0.5083894532587604, 0: 0.4916105467412396}",DESBALANCEO PREDICCIÓN
1h,TRXUSDT_1h,GradientBoostingClassifier,0.46622876131579033,F1 VALIDATION
1h,TRXUSDT_1h,GradientBoostingClassifier,"{1: 0.5952380952380952, 0: 0.40476190476190477}",DESBALANCEO REAL VAL
1h,TRXUSDT_1h,GradientBoostingClassifier,"{0: 0.6349206349206349, 1: 0.36507936507936506}",DESBALANCEO PREDICCIÓN VAL
1h,TRXUSDT_1h,GradientBoostingClassifier,0.5080470265951376,FINAL TEST
1h,TRXUSDT_1h,GradientBoostingClassifier,0.507761508839717,F1 FINAL TEST
1h,TRXUSDT_1h,GradientBoostingClassifier,"{1: 0.5171784042917476, 0: 0.4828215957082525}",DESBALANCEO REAL
1h,TRXUSDT_1h,GradientBoostingClassifier,"{1: 0.5069056043830613, 0: 0.4930943956169387}",DESBALANCEO PREDICCIÓN
1h,LINKUSDT_1h,GradientBoostingClassifier,0.482179723839392,F1 VALIDATION
1h,LINKUSDT_1h,GradientBoostingClassifier,"{1: 0.5317460317460317, 0: 0.46825396825396826}",DESBALANCEO REAL VAL
1h,LINKUSDT_1h,GradientBoostingClassifier,"{0: 0.5952380952380952, 1: 0.40476190476190477}",DESBALANCEO PREDICCIÓN VAL
1h,LINKUSDT_1h,GradientBoostingClassifier,0.5180915420614085,FINAL TEST
1h,LINKUSDT_1h,GradientBoostingClassifier,0.5161917301080967,F1 FINAL TEST
1h,LINKUSDT_1h,GradientBoostingClassifier,"{0: 0.5116995776737815, 1: 0.48830042232621845}",DESBALANCEO REAL
1h,LINKUSDT_1h,GradientBoostingClassifier,"{0: 0.5509645017692044, 1: 0.4490354982307956}",DESBALANCEO PREDICCIÓN
1h,AVAXUSDT_1h,GradientBoostingClassifier,0.4982246250995631,F1 VALIDATION
1h,AVAXUSDT_1h,GradientBoostingClassifier,"{0: 0.5079365079365079, 1: 0.49206349206349204}",DESBALANCEO REAL VAL
1h,AVAXUSDT_1h,GradientBoostingClassifier,"{0: 0.6031746031746031, 1: 0.3968253968253968}",DESBALANCEO PREDICCIÓN VAL
1h,AVAXUSDT_1h,GradientBoostingClassifier,0.5035954799680402,FINAL TEST
1h,AVAXUSDT_1h,GradientBoostingClassifier,0.5021749149293568,F1 FINAL TEST
1h,AVAXUSDT_1h,GradientBoostingClassifier,"{0: 0.5135258532131035, 1: 0.4864741467868965}",DESBALANCEO REAL
1h,AVAXUSDT_1h,GradientBoostingClassifier,"{0: 0.5398927063120649, 1: 0.4601072936879352}",DESBALANCEO PREDICCIÓN
4h,BTCUSDT_4h,MLPClassifier,0.3387993449896436,F1 VALIDATION
4h,BTCUSDT_4h,MLPClassifier,"{1: 0.5142857142857142, 0: 0.4857142857142857}",DESBALANCEO REAL VAL
4h,BTCUSDT_4h,MLPClassifier,{1: 1.0},DESBALANCEO PREDICCIÓN VAL
4h,BTCUSDT_4h,MLPClassifier,0.5221360109539023,FINAL TEST
4h,BTCUSDT_4h,MLPClassifier,0.3430284857571214,F1 FINAL TEST
4h,BTCUSDT_4h,MLPClassifier,"{1: 0.5221360109539023, 0: 0.47786398904609767}",DESBALANCEO REAL
4h,BTCUSDT_4h,MLPClassifier,{1: 1.0},DESBALANCEO PREDICCIÓN
4h,ETHUSDT_4h,MLPClassifier,0.4067648334725732,F1 VALIDATION
4h,ETHUSDT_4h,MLPClassifier,"{1: 0.5142857142857142, 0: 0.4857142857142857}",DESBALANCEO REAL VAL
4h,ETHUSDT_4h,MLPClassifier,"{1: 0.7142857142857143, 0: 0.2857142857142857}",DESBALANCEO PREDICCIÓN VAL
4h,ETHUSDT_4h,MLPClassifier,0.5029666818804199,FINAL TEST
4h,ETHUSDT_4h,MLPClassifier,0.40684519821596066,F1 FINAL TEST
4h,ETHUSDT_4h,MLPClassifier,"{1: 0.5061615700593336, 0: 0.49383842994066635}",DESBALANCEO REAL
4h,ETHUSDT_4h,MLPClassifier,"{1: 0.8963943404837974, 0: 0.10360565951620265}",DESBALANCEO PREDICCIÓN
4h,XRPUSDT_4h,MLPClassifier,0.3220673480377937,F1 VALIDATION
4h,XRPUSDT_4h,MLPClassifier,"{0: 0.5142857142857142, 1: 0.4857142857142857}",DESBALANCEO REAL VAL
4h,XRPUSDT_4h,MLPClassifier,{0: 1.0},DESBALANCEO PREDICCIÓN VAL
4h,XRPUSDT_4h,MLPClassifier,0.4984025559105431,FINAL TEST
4h,XRPUSDT_4h,MLPClassifier,0.41623575657177797,F1 FINAL TEST
4h,XRPUSDT_4h,MLPClassifier,"{1: 0.5047923322683706, 0: 0.4952076677316294}",DESBALANCEO REAL
4h,XRPUSDT_4h,MLPClassifier,"{0: 0.879963486992241, 1: 0.12003651300775901}",DESBALANCEO PREDICCIÓN
4h,BNBUSDT_4h,MLPClassifier,0.39626465235956954,F1 VALIDATION
4h,BNBUSDT_4h,MLPClassifier,"{1: 0.5714285714285714, 0: 0.42857142857142855}",DESBALANCEO REAL VAL
4h,BNBUSDT_4h,MLPClassifier,"{0: 0.7428571428571429, 1: 0.2571428571428571}",DESBALANCEO PREDICCIÓN VAL
4h,BNBUSDT_4h,MLPClassifier,0.5006846188954815,FINAL TEST
4h,BNBUSDT_4h,MLPClassifier,0.4258517773306506,F1 FINAL TEST
4h,BNBUSDT_4h,MLPClassifier,"{1: 0.5152898219990871, 0: 0.4847101780009128}",DESBALANCEO REAL
4h,BNBUSDT_4h,MLPClassifier,"{1: 0.8457325422181652, 0: 0.1542674577818348}",DESBALANCEO PREDICCIÓN
4h,SOLUSDT_4h,MLPClassifier,0.4488623929389745,F1 VALIDATION
4h,SOLUSDT_4h,MLPClassifier,"{1: 0.5428571428571428, 0: 0.45714285714285713}",DESBALANCEO REAL VAL
4h,SOLUSDT_4h,MLPClassifier,"{0: 0.9714285714285714, 1: 0.02857142857142857}",DESBALANCEO PREDICCIÓN VAL
4h,SOLUSDT_4h,MLPClassifier,0.4851665905979005,FINAL TEST
4h,SOLUSDT_4h,MLPClassifier,0.3786947261724477,F1 FINAL TEST
4h,SOLUSDT_4h,MLPClassifier,"{1: 0.5134641716111364, 0: 0.48653582838886356}",DESBALANCEO REAL
4h,SOLUSDT_4h,MLPClassifier,"{0: 0.9274303970789594, 1: 0.07256960292104062}",DESBALANCEO PREDICCIÓN
4h,ADAUSDT_4h,MLPClassifier,0.47792319566513114,F1 VALIDATION
4h,ADAUSDT_4h,MLPClassifier,"{0: 0.5142857142857142, 1: 0.4857142857142857}",DESBALANCEO REAL VAL
4h,ADAUSDT_4h,MLPClassifier,"{1: 0.5714285714285714, 0: 0.42857142857142855}",DESBALANCEO PREDICCIÓN VAL
4h,ADAUSDT_4h,MLPClassifier,0.5020538566864445,FINAL TEST
4h,ADAUSDT_4h,MLPClassifier,0.3342449103615922,F1 FINAL TEST
4h,ADAUSDT_4h,MLPClassifier,"{1: 0.5020538566864445, 0: 0.49794614331355547}",DESBALANCEO REAL
4h,ADAUSDT_4h,MLPClassifier,{1: 1.0},DESBALANCEO PREDICCIÓN
4h,TRXUSDT_4h,MLPClassifier,0.4307205193751328,F1 VALIDATION
4h,TRXUSDT_4h,MLPClassifier,"{1: 0.6285714285714286, 0: 0.37142857142857144}",DESBALANCEO REAL VAL
4h,TRXUSDT_4h,MLPClassifier,"{1: 0.8285714285714286, 0: 0.17142857142857143}",DESBALANCEO PREDICCIÓN VAL
4h,TRXUSDT_4h,MLPClassifier,0.5385668644454586,FINAL TEST
4h,TRXUSDT_4h,MLPClassifier,0.35004449718184516,F1 FINAL TEST
4h,TRXUSDT_4h,MLPClassifier,"{1: 0.5385668644454586, 0: 0.4614331355545413}",DESBALANCEO REAL
4h,TRXUSDT_4h,MLPClassifier,{1: 1.0},DESBALANCEO PREDICCIÓN
4h,LINKUSDT_4h,MLPClassifier,0.4169354903301339,F1 VALIDATION
4h,LINKUSDT_4h,MLPClassifier,"{1: 0.5142857142857142, 0: 0.4857142857142857}",DESBALANCEO REAL VAL
4h,LINKUSDT_4h,MLPClassifier,"{0: 0.8571428571428571, 1: 0.14285714285714285}",DESBALANCEO PREDICCIÓN VAL
4h,LINKUSDT_4h,MLPClassifier,0.5029666818804199,FINAL TEST
4h,LINKUSDT_4h,MLPClassifier,0.3434381347031065,F1 FINAL TEST
4h,LINKUSDT_4h,MLPClassifier,"{1: 0.5029666818804199, 0: 0.4970333181195801}",DESBALANCEO REAL
4h,LINKUSDT_4h,MLPClassifier,"{1: 0.9899589228662711, 0: 0.010041077133728891}",DESBALANCEO PREDICCIÓN
4h,AVAXUSDT_4h,MLPClassifier,0.3225191996083079,F1 VALIDATION
4h,AVAXUSDT_4h,MLPClassifier,"{0: 0.5428571428571428, 1: 0.45714285714285713}",DESBALANCEO REAL VAL
4h,AVAXUSDT_4h,MLPClassifier,{0: 1.0},DESBALANCEO PREDICCIÓN VAL
