Model,Asset,Accuracy,What
MLPClassifier,global,0.5166137566137566,ACC VALIDATION
MLPClassifier,global,0.3397041960762794,F1 VALIDATION
MLPClassifier,global,"{0: 0.524074074074074, 1: 0.4759259259259259}",DESBALANCEO REAL VAL
MLPClassifier,global,{1: 1.0},DESBALANCEO PREDICCIÓN VAL
MLPClassifier,global,0.5083260409136451,ACC FINAL TEST
MLPClassifier,global,0.3370133692087783,F1 FINAL TEST
MLPClassifier,ADAUSDT_1h,0.4885287067686337,ACC CRYPTO TEST
MLPClassifier,ADAUSDT_1h,0.32819569051453107,F1 CRYPTO TEST
MLPClassifier,ADAUSDT_1h,"{0: 0.5114712932313663, 1: 0.4885287067686337}",DESBALANCEO REAL
MLPClassifier,ADAUSDT_1h,{1: 1.0},DESBALANCEO PREDICCIÓN
MLPClassifier,AVAXUSDT_1h,0.48601757790206596,ACC CRYPTO TEST
MLPClassifier,AVAXUSDT_1h,0.3270604501113757,F1 CRYPTO TEST
MLPClassifier,AVAXUSDT_1h,"{0: 0.513982422097934, 1: 0.48601757790206596}",DESBALANCEO REAL
MLPClassifier,AVAXUSDT_1h,{1: 1.0},DESBALANCEO PREDICCIÓN
MLPClassifier,BNBUSDT_1h,0.5252825019974888,ACC CRYPTO TEST
MLPClassifier,BNBUSDT_1h,0.34438374616478334,F1 CRYPTO TEST
MLPClassifier,BNBUSDT_1h,"{1: 0.5252825019974888, 0: 0.4747174980025111}",DESBALANCEO REAL
MLPClassifier,BNBUSDT_1h,{1: 1.0},DESBALANCEO PREDICCIÓN
MLPClassifier,BTCUSDT_1h,0.5288209108549252,ACC CRYPTO TEST
MLPClassifier,BTCUSDT_1h,0.3459011497685531,F1 CRYPTO TEST
MLPClassifier,BTCUSDT_1h,"{1: 0.5288209108549252, 0: 0.4711790891450748}",DESBALANCEO REAL
MLPClassifier,BTCUSDT_1h,{1: 1.0},DESBALANCEO PREDICCIÓN
MLPClassifier,ETHUSDT_1h,0.5111288665677434,ACC CRYPTO TEST
MLPClassifier,ETHUSDT_1h,0.3382430697182567,F1 CRYPTO TEST
MLPClassifier,ETHUSDT_1h,"{1: 0.5111288665677434, 0: 0.4888711334322566}",DESBALANCEO REAL
MLPClassifier,ETHUSDT_1h,{1: 1.0},DESBALANCEO PREDICCIÓN
MLPClassifier,LINKUSDT_1h,0.4943499600502226,ACC CRYPTO TEST
MLPClassifier,LINKUSDT_1h,0.33081271005194013,F1 CRYPTO TEST
MLPClassifier,LINKUSDT_1h,"{0: 0.5056500399497774, 1: 0.4943499600502226}",DESBALANCEO REAL
MLPClassifier,LINKUSDT_1h,{1: 1.0},DESBALANCEO PREDICCIÓN
MLPClassifier,SOLUSDT_1h,0.5071338888254765,ACC CRYPTO TEST
MLPClassifier,SOLUSDT_1h,0.3364889427446228,F1 CRYPTO TEST
MLPClassifier,SOLUSDT_1h,"{1: 0.5071338888254765, 0: 0.49286611117452345}",DESBALANCEO REAL
MLPClassifier,SOLUSDT_1h,{1: 1.0},DESBALANCEO PREDICCIÓN
MLPClassifier,TRXUSDT_1h,0.5325876041547769,ACC CRYPTO TEST
MLPClassifier,TRXUSDT_1h,0.347508751024056,F1 CRYPTO TEST
MLPClassifier,TRXUSDT_1h,"{1: 0.5325876041547769, 0: 0.46741239584522315}",DESBALANCEO REAL
MLPClassifier,TRXUSDT_1h,{1: 1.0},DESBALANCEO PREDICCIÓN
