Frequency,Asset,Model,Value,What
1h,global,GradientBoostingClassifier,"{0: 0.5379188712522046, 1: 0.4620811287477954}",DESBALANCEO PREDICCIÓN VAL
1h,global,GradientBoostingClassifier,0.50842151675485,ACC VALIDATION
1h,global,GradientBoostingClassifier,0.5081247552540967,F1 VALIDATION
1h,global,GradientBoostingClassifier,"{1: 0.5352733686067019, 0: 0.46472663139329806}",DESBALANCEO REAL VAL
1h,global,GradientBoostingClassifier,"{0: 0.544973544973545, 1: 0.455026455026455}",DESBALANCEO PREDICCIÓN VAL
1h,global,GradientBoostingClassifier,0.5086199294532628,ACC VALIDATION
1h,global,GradientBoostingClassifier,0.5081263689575296,F1 VALIDATION
1h,global,GradientBoostingClassifier,"{1: 0.5352733686067019, 0: 0.46472663139329806}",DESBALANCEO REAL VAL
1h,global,GradientBoostingClassifier,"{0: 0.5255731922398589, 1: 0.47442680776014107}",DESBALANCEO PREDICCIÓN VAL
1h,global,GradientBoostingClassifier,0.5029761904761905,ACC VALIDATION
1h,global,GradientBoostingClassifier,0.5028261872786322,F1 VALIDATION
1h,global,GradientBoostingClassifier,"{1: 0.5352733686067019, 0: 0.46472663139329806}",DESBALANCEO REAL VAL
1h,global,GradientBoostingClassifier,"{0: 0.5061728395061729, 1: 0.49382716049382713}",DESBALANCEO PREDICCIÓN VAL
1h,global,GradientBoostingClassifier,0.5047876320562087,ACC FINAL TEST
1h,global,GradientBoostingClassifier,0.5047552078841602,F1 FINAL TEST
1h,ADAUSDT_1h,GradientBoostingClassifier,0.5131834265494807,ACC CRYPTO TEST
1h,ADAUSDT_1h,GradientBoostingClassifier,0.512799303158286,F1 CRYPTO TEST
1h,ADAUSDT_1h,GradientBoostingClassifier,"{0: 0.5064490354982308, 1: 0.4935509645017692}",DESBALANCEO REAL
1h,ADAUSDT_1h,GradientBoostingClassifier,"{0: 0.5216299509188449, 1: 0.4783700490811551}",DESBALANCEO PREDICCIÓN
1h,AVAXUSDT_1h,GradientBoostingClassifier,0.5075904577103071,ACC CRYPTO TEST
1h,AVAXUSDT_1h,GradientBoostingClassifier,0.5053851381316579,F1 CRYPTO TEST
1h,AVAXUSDT_1h,GradientBoostingClassifier,"{0: 0.5135258532131035, 1: 0.4864741467868965}",DESBALANCEO REAL
1h,AVAXUSDT_1h,GradientBoostingClassifier,"{0: 0.5532473461933569, 1: 0.4467526538066431}",DESBALANCEO PREDICCIÓN
1h,BNBUSDT_1h,GradientBoostingClassifier,0.49674694669558267,ACC CRYPTO TEST
1h,BNBUSDT_1h,GradientBoostingClassifier,0.4966760204551986,F1 CRYPTO TEST
1h,BNBUSDT_1h,GradientBoostingClassifier,"{1: 0.5145531332039721, 0: 0.48544686679602783}",DESBALANCEO REAL
1h,BNBUSDT_1h,GradientBoostingClassifier,"{0: 0.5264239242095651, 1: 0.47357607579043487}",DESBALANCEO PREDICCIÓN
1h,BTCUSDT_1h,GradientBoostingClassifier,0.5159228398584637,ACC CRYPTO TEST
1h,BTCUSDT_1h,GradientBoostingClassifier,0.5158546161829207,F1 CRYPTO TEST
1h,BTCUSDT_1h,GradientBoostingClassifier,"{1: 0.5111288665677434, 0: 0.4888711334322566}",DESBALANCEO REAL
1h,BTCUSDT_1h,GradientBoostingClassifier,"{1: 0.5007419244378496, 0: 0.49925807556215046}",DESBALANCEO PREDICCIÓN
1h,ETHUSDT_1h,GradientBoostingClassifier,0.5064490354982308,ACC CRYPTO TEST
1h,ETHUSDT_1h,GradientBoostingClassifier,0.5063808080504831,F1 CRYPTO TEST
1h,ETHUSDT_1h,GradientBoostingClassifier,"{1: 0.5079328843739299, 0: 0.4920671156260701}",DESBALANCEO REAL
1h,ETHUSDT_1h,GradientBoostingClassifier,"{1: 0.5038237644104554, 0: 0.49617623558954455}",DESBALANCEO PREDICCIÓN
1h,LINKUSDT_1h,GradientBoostingClassifier,0.5062207510558155,ACC CRYPTO TEST
1h,LINKUSDT_1h,GradientBoostingClassifier,0.5061470866288493,F1 CRYPTO TEST
1h,LINKUSDT_1h,GradientBoostingClassifier,"{0: 0.5116995776737815, 1: 0.48830042232621845}",DESBALANCEO REAL
1h,LINKUSDT_1h,GradientBoostingClassifier,"{0: 0.5005136399954343, 1: 0.4994863600045657}",DESBALANCEO PREDICCIÓN
1h,SOLUSDT_1h,GradientBoostingClassifier,0.500627782216642,ACC CRYPTO TEST
1h,SOLUSDT_1h,GradientBoostingClassifier,0.5000257948111797,F1 CRYPTO TEST
1h,SOLUSDT_1h,GradientBoostingClassifier,"{1: 0.5053076132861546, 0: 0.49469238671384547}",DESBALANCEO REAL
1h,SOLUSDT_1h,GradientBoostingClassifier,"{0: 0.5400068485332724, 1: 0.45999315146672753}",DESBALANCEO PREDICCIÓN
1h,TRXUSDT_1h,GradientBoostingClassifier,0.49423581782901493,ACC CRYPTO TEST
1h,TRXUSDT_1h,GradientBoostingClassifier,0.49256981254763776,F1 CRYPTO TEST
1h,TRXUSDT_1h,GradientBoostingClassifier,"{1: 0.5171784042917476, 0: 0.4828215957082525}",DESBALANCEO REAL
1h,TRXUSDT_1h,GradientBoostingClassifier,"{1: 0.5401209907544801, 0: 0.45987900924551994}",DESBALANCEO PREDICCIÓN
1h,XRPUSDT_1h,GradientBoostingClassifier,0.502111631092341,ACC CRYPTO TEST
1h,XRPUSDT_1h,GradientBoostingClassifier,0.502111624605629,F1 CRYPTO TEST
1h,XRPUSDT_1h,GradientBoostingClassifier,"{1: 0.502454057755964, 0: 0.4975459422440361}",DESBALANCEO REAL
1h,XRPUSDT_1h,GradientBoostingClassifier,"{0: 0.5025681999771715, 1: 0.49743180002282844}",DESBALANCEO PREDICCIÓN
4h,global,RandomForestClassifier,0.5090913580246913,ACC VALIDATION
4h,global,RandomForestClassifier,0.4893294012344812,F1 VALIDATION
4h,global,RandomForestClassifier,"{1: 0.5191111111111111, 0: 0.48088888888888887}",DESBALANCEO REAL VAL
4h,global,RandomForestClassifier,"{0: 0.7057777777777777, 1: 0.2942222222222222}",DESBALANCEO PREDICCIÓN VAL
4h,global,RandomForestClassifier,0.5125728395061728,ACC VALIDATION
4h,global,RandomForestClassifier,0.5021371288758547,F1 VALIDATION
4h,global,RandomForestClassifier,"{1: 0.5191111111111111, 0: 0.48088888888888887}",DESBALANCEO REAL VAL
4h,global,RandomForestClassifier,"{0: 0.6391111111111111, 1: 0.36088888888888887}",DESBALANCEO PREDICCIÓN VAL
4h,global,RandomForestClassifier,0.5140790123456791,ACC VALIDATION
4h,global,RandomForestClassifier,0.5099880171020905,F1 VALIDATION
4h,global,RandomForestClassifier,"{1: 0.5191111111111111, 0: 0.48088888888888887}",DESBALANCEO REAL VAL
4h,global,RandomForestClassifier,"{0: 0.5706666666666667, 1: 0.42933333333333334}",DESBALANCEO PREDICCIÓN VAL
4h,global,RandomForestClassifier,0.5128938271604938,ACC VALIDATION
4h,global,RandomForestClassifier,0.510572399516162,F1 VALIDATION
4h,global,RandomForestClassifier,"{1: 0.5191111111111111, 0: 0.48088888888888887}",DESBALANCEO REAL VAL
4h,global,RandomForestClassifier,"{0: 0.5306666666666666, 1: 0.4693333333333333}",DESBALANCEO PREDICCIÓN VAL
4h,global,RandomForestClassifier,0.5114074074074074,ACC VALIDATION
4h,global,RandomForestClassifier,0.5007027831605465,F1 VALIDATION
4h,global,RandomForestClassifier,"{1: 0.5191111111111111, 0: 0.48088888888888887}",DESBALANCEO REAL VAL
4h,global,RandomForestClassifier,"{0: 0.6346666666666667, 1: 0.36533333333333334}",DESBALANCEO PREDICCIÓN VAL
4h,global,RandomForestClassifier,0.5096839506172839,ACC VALIDATION
4h,global,RandomForestClassifier,0.508072045444512,F1 VALIDATION
4h,global,RandomForestClassifier,"{1: 0.5191111111111111, 0: 0.48088888888888887}",DESBALANCEO REAL VAL
4h,global,RandomForestClassifier,"{0: 0.5271111111111111, 1: 0.4728888888888889}",DESBALANCEO PREDICCIÓN VAL
4h,global,RandomForestClassifier,0.5165728395061728,ACC VALIDATION
4h,global,RandomForestClassifier,0.5151777328672654,F1 VALIDATION
4h,global,RandomForestClassifier,"{1: 0.5191111111111111, 0: 0.48088888888888887}",DESBALANCEO REAL VAL
4h,global,RandomForestClassifier,"{0: 0.536, 1: 0.464}",DESBALANCEO PREDICCIÓN VAL
4h,global,RandomForestClassifier,0.518962962962963,ACC VALIDATION
4h,global,RandomForestClassifier,0.5158229637317663,F1 VALIDATION
4h,global,RandomForestClassifier,"{1: 0.5191111111111111, 0: 0.48088888888888887}",DESBALANCEO REAL VAL
4h,global,RandomForestClassifier,"{0: 0.5128888888888888, 1: 0.4871111111111111}",DESBALANCEO PREDICCIÓN VAL
4h,global,RandomForestClassifier,0.5103308641975308,ACC VALIDATION
4h,global,RandomForestClassifier,0.5092776640198254,F1 VALIDATION
4h,global,RandomForestClassifier,"{1: 0.5191111111111111, 0: 0.48088888888888887}",DESBALANCEO REAL VAL
4h,global,RandomForestClassifier,"{1: 0.5431111111111111, 0: 0.4568888888888889}",DESBALANCEO PREDICCIÓN VAL
4h,global,RandomForestClassifier,0.49327901234567906,ACC VALIDATION
4h,global,RandomForestClassifier,0.49309672343646527,F1 VALIDATION
4h,global,RandomForestClassifier,"{1: 0.5191111111111111, 0: 0.48088888888888887}",DESBALANCEO REAL VAL
4h,global,RandomForestClassifier,"{0: 0.5146666666666667, 1: 0.48533333333333334}",DESBALANCEO PREDICCIÓN VAL
4h,global,RandomForestClassifier,0.5035245194989604,ACC FINAL TEST
4h,global,RandomForestClassifier,0.503465491700956,F1 FINAL TEST
4h,ADAUSDT_4h,RandomForestClassifier,0.49748973071656777,ACC CRYPTO TEST
4h,ADAUSDT_4h,RandomForestClassifier,0.4974859622389174,F1 CRYPTO TEST
4h,ADAUSDT_4h,RandomForestClassifier,"{1: 0.5020538566864445, 0: 0.49794614331355547}",DESBALANCEO REAL
4h,ADAUSDT_4h,RandomForestClassifier,"{1: 0.5006846188954815, 0: 0.4993153811045185}",DESBALANCEO PREDICCIÓN
4h,AVAXUSDT_4h,RandomForestClassifier,0.5079872204472844,ACC CRYPTO TEST
4h,AVAXUSDT_4h,RandomForestClassifier,0.5077976389937799,F1 CRYPTO TEST
4h,AVAXUSDT_4h,RandomForestClassifier,"{0: 0.5193975353719763, 1: 0.48060246462802375}",DESBALANCEO REAL
4h,AVAXUSDT_4h,RandomForestClassifier,"{0: 0.5002282062984938, 1: 0.49977179370150615}",DESBALANCEO PREDICCIÓN
4h,BNBUSDT_4h,RandomForestClassifier,0.5061615700593336,ACC CRYPTO TEST
4h,BNBUSDT_4h,RandomForestClassifier,0.505971285149601,F1 CRYPTO TEST
4h,BNBUSDT_4h,RandomForestClassifier,"{1: 0.5152898219990871, 0: 0.4847101780009128}",DESBALANCEO REAL
4h,BNBUSDT_4h,RandomForestClassifier,"{1: 0.5043359196713829, 0: 0.4956640803286171}",DESBALANCEO PREDICCIÓN
4h,BTCUSDT_4h,RandomForestClassifier,0.5047923322683706,ACC CRYPTO TEST
4h,BTCUSDT_4h,RandomForestClassifier,0.5046433274008931,F1 CRYPTO TEST
4h,BTCUSDT_4h,RandomForestClassifier,"{1: 0.5221360109539023, 0: 0.47786398904609767}",DESBALANCEO REAL
4h,BTCUSDT_4h,RandomForestClassifier,"{0: 0.5047923322683706, 1: 0.4952076677316294}",DESBALANCEO PREDICCIÓN
4h,ETHUSDT_4h,RandomForestClassifier,0.5093564582382474,ACC CRYPTO TEST
4h,ETHUSDT_4h,RandomForestClassifier,0.5093302918092382,F1 CRYPTO TEST
4h,ETHUSDT_4h,RandomForestClassifier,"{1: 0.5061615700593336, 0: 0.49383842994066635}",DESBALANCEO REAL
4h,ETHUSDT_4h,RandomForestClassifier,"{0: 0.5134641716111364, 1: 0.48653582838886356}",DESBALANCEO PREDICCIÓN
4h,LINKUSDT_4h,RandomForestClassifier,0.5107256960292104,ACC CRYPTO TEST
4h,LINKUSDT_4h,RandomForestClassifier,0.5106008097921845,F1 CRYPTO TEST
4h,LINKUSDT_4h,RandomForestClassifier,"{1: 0.5029666818804199, 0: 0.4970333181195801}",DESBALANCEO REAL
4h,LINKUSDT_4h,RandomForestClassifier,"{1: 0.5130077590141487, 0: 0.4869922409858512}",DESBALANCEO PREDICCIÓN
4h,SOLUSDT_4h,RandomForestClassifier,0.49748973071656777,ACC CRYPTO TEST
4h,SOLUSDT_4h,RandomForestClassifier,0.497305008817982,F1 CRYPTO TEST
4h,SOLUSDT_4h,RandomForestClassifier,"{1: 0.5134641716111364, 0: 0.48653582838886356}",DESBALANCEO REAL
4h,SOLUSDT_4h,RandomForestClassifier,"{1: 0.505705157462346, 0: 0.49429484253765404}",DESBALANCEO PREDICCIÓN
4h,TRXUSDT_4h,RandomForestClassifier,0.5015974440894568,ACC CRYPTO TEST
4h,TRXUSDT_4h,RandomForestClassifier,0.4990905390942573,F1 CRYPTO TEST
4h,TRXUSDT_4h,RandomForestClassifier,"{1: 0.5385668644454586, 0: 0.4614331355545413}",DESBALANCEO REAL
4h,TRXUSDT_4h,RandomForestClassifier,"{1: 0.5321770880876312, 0: 0.4678229119123688}",DESBALANCEO PREDICCIÓN
4h,XRPUSDT_4h,RandomForestClassifier,0.49612049292560473,ACC CRYPTO TEST
4h,XRPUSDT_4h,RandomForestClassifier,0.495907850358532,F1 CRYPTO TEST
4h,XRPUSDT_4h,RandomForestClassifier,"{1: 0.5047923322683706, 0: 0.4952076677316294}",DESBALANCEO REAL
4h,XRPUSDT_4h,RandomForestClassifier,"{0: 0.525330899132816, 1: 0.47466910086718395}",DESBALANCEO PREDICCIÓN
4h,global,GradientBoostingClassifier,0.5191604938271605,ACC VALIDATION
4h,global,GradientBoostingClassifier,0.516073929165541,F1 VALIDATION
4h,global,GradientBoostingClassifier,"{1: 0.5191111111111111, 0: 0.48088888888888887}",DESBALANCEO REAL VAL
4h,global,GradientBoostingClassifier,"{0: 0.5084444444444445, 1: 0.4915555555555556}",DESBALANCEO PREDICCIÓN VAL
4h,global,GradientBoostingClassifier,0.5087456790123457,ACC VALIDATION
4h,global,GradientBoostingClassifier,0.5066124411307331,F1 VALIDATION
4h,global,GradientBoostingClassifier,"{1: 0.5191111111111111, 0: 0.48088888888888887}",DESBALANCEO REAL VAL
4h,global,GradientBoostingClassifier,"{0: 0.5022222222222222, 1: 0.49777777777777776}",DESBALANCEO PREDICCIÓN VAL
4h,global,GradientBoostingClassifier,0.5157925925925927,ACC VALIDATION
4h,global,GradientBoostingClassifier,0.5138129342740163,F1 VALIDATION
4h,global,GradientBoostingClassifier,"{1: 0.5191111111111111, 0: 0.48088888888888887}",DESBALANCEO REAL VAL
4h,global,GradientBoostingClassifier,"{1: 0.5066666666666667, 0: 0.49333333333333335}",DESBALANCEO PREDICCIÓN VAL
4h,global,GradientBoostingClassifier,0.516246913580247,ACC VALIDATION
4h,global,GradientBoostingClassifier,0.5143456443602604,F1 VALIDATION
4h,global,GradientBoostingClassifier,"{1: 0.5191111111111111, 0: 0.48088888888888887}",DESBALANCEO REAL VAL
4h,global,GradientBoostingClassifier,"{1: 0.5022222222222222, 0: 0.49777777777777776}",DESBALANCEO PREDICCIÓN VAL
4h,global,GradientBoostingClassifier,0.506883950617284,ACC VALIDATION
4h,global,GradientBoostingClassifier,0.505054707405613,F1 VALIDATION
4h,global,GradientBoostingClassifier,"{1: 0.5191111111111111, 0: 0.48088888888888887}",DESBALANCEO REAL VAL
4h,global,GradientBoostingClassifier,"{1: 0.5413333333333333, 0: 0.45866666666666667}",DESBALANCEO PREDICCIÓN VAL
4h,global,GradientBoostingClassifier,0.5154370370370371,ACC VALIDATION
4h,global,GradientBoostingClassifier,0.5140153499854793,F1 VALIDATION
4h,global,GradientBoostingClassifier,"{1: 0.5191111111111111, 0: 0.48088888888888887}",DESBALANCEO REAL VAL
4h,global,GradientBoostingClassifier,"{1: 0.5262222222222223, 0: 0.4737777777777778}",DESBALANCEO PREDICCIÓN VAL
4h,global,GradientBoostingClassifier,0.5116296296296297,ACC VALIDATION
4h,global,GradientBoostingClassifier,0.5089061562285362,F1 VALIDATION
4h,global,GradientBoostingClassifier,"{1: 0.5191111111111111, 0: 0.48088888888888887}",DESBALANCEO REAL VAL
4h,global,GradientBoostingClassifier,"{1: 0.5057777777777778, 0: 0.49422222222222223}",DESBALANCEO PREDICCIÓN VAL
4h,global,GradientBoostingClassifier,0.505125925925926,ACC VALIDATION
4h,global,GradientBoostingClassifier,0.5040537534051618,F1 VALIDATION
4h,global,GradientBoostingClassifier,"{1: 0.5191111111111111, 0: 0.48088888888888887}",DESBALANCEO REAL VAL
4h,global,GradientBoostingClassifier,"{1: 0.5146666666666667, 0: 0.48533333333333334}",DESBALANCEO PREDICCIÓN VAL
4h,global,GradientBoostingClassifier,0.5131851851851852,ACC VALIDATION
4h,global,GradientBoostingClassifier,0.5112638325010008,F1 VALIDATION
4h,global,GradientBoostingClassifier,"{1: 0.5191111111111111, 0: 0.48088888888888887}",DESBALANCEO REAL VAL
4h,global,GradientBoostingClassifier,"{1: 0.5155555555555555, 0: 0.48444444444444446}",DESBALANCEO PREDICCIÓN VAL
4h,global,GradientBoostingClassifier,0.5075358024691358,ACC VALIDATION
4h,global,GradientBoostingClassifier,0.5054422399550916,F1 VALIDATION
4h,global,GradientBoostingClassifier,"{1: 0.5191111111111111, 0: 0.48088888888888887}",DESBALANCEO REAL VAL
4h,global,GradientBoostingClassifier,"{1: 0.5217777777777778, 0: 0.4782222222222222}",DESBALANCEO PREDICCIÓN VAL
4h,global,GradientBoostingClassifier,0.5099142958567878,ACC FINAL TEST
4h,global,GradientBoostingClassifier,0.509664581499464,F1 FINAL TEST
4h,ADAUSDT_4h,GradientBoostingClassifier,0.508443633044272,ACC CRYPTO TEST
4h,ADAUSDT_4h,GradientBoostingClassifier,0.5082075963433612,F1 CRYPTO TEST
4h,ADAUSDT_4h,GradientBoostingClassifier,"{1: 0.5020538566864445, 0: 0.49794614331355547}",DESBALANCEO REAL
4h,ADAUSDT_4h,GradientBoostingClassifier,"{1: 0.5198539479689639, 0: 0.48014605203103605}",DESBALANCEO PREDICCIÓN
4h,AVAXUSDT_4h,GradientBoostingClassifier,0.5157462345960748,ACC CRYPTO TEST
4h,AVAXUSDT_4h,GradientBoostingClassifier,0.5157462345960748,F1 CRYPTO TEST
4h,AVAXUSDT_4h,GradientBoostingClassifier,"{0: 0.5193975353719763, 1: 0.48060246462802375}",DESBALANCEO REAL
4h,AVAXUSDT_4h,GradientBoostingClassifier,"{1: 0.5193975353719763, 0: 0.48060246462802375}",DESBALANCEO PREDICCIÓN
4h,BNBUSDT_4h,GradientBoostingClassifier,0.5111821086261981,ACC CRYPTO TEST
4h,BNBUSDT_4h,GradientBoostingClassifier,0.5105295467473329,F1 CRYPTO TEST
4h,BNBUSDT_4h,GradientBoostingClassifier,"{1: 0.5152898219990871, 0: 0.4847101780009128}",DESBALANCEO REAL
4h,BNBUSDT_4h,GradientBoostingClassifier,"{0: 0.5518028297581014, 1: 0.4481971702418987}",DESBALANCEO PREDICCIÓN
4h,BTCUSDT_4h,GradientBoostingClassifier,0.4952076677316294,ACC CRYPTO TEST
4h,BTCUSDT_4h,GradientBoostingClassifier,0.4925351817724912,F1 CRYPTO TEST
4h,BTCUSDT_4h,GradientBoostingClassifier,"{1: 0.5221360109539023, 0: 0.47786398904609767}",DESBALANCEO REAL
4h,BTCUSDT_4h,GradientBoostingClassifier,"{0: 0.5947056138749429, 1: 0.405294386125057}",DESBALANCEO PREDICCIÓN
4h,ETHUSDT_4h,GradientBoostingClassifier,0.5093564582382474,ACC CRYPTO TEST
4h,ETHUSDT_4h,GradientBoostingClassifier,0.5077284331726444,F1 CRYPTO TEST
4h,ETHUSDT_4h,GradientBoostingClassifier,"{1: 0.5061615700593336, 0: 0.49383842994066635}",DESBALANCEO REAL
4h,ETHUSDT_4h,GradientBoostingClassifier,"{0: 0.563669557279781, 1: 0.4363304427202191}",DESBALANCEO PREDICCIÓN
4h,LINKUSDT_4h,GradientBoostingClassifier,0.535371976266545,ACC CRYPTO TEST
4h,LINKUSDT_4h,GradientBoostingClassifier,0.5350115494625539,F1 CRYPTO TEST
4h,LINKUSDT_4h,GradientBoostingClassifier,"{1: 0.5029666818804199, 0: 0.4970333181195801}",DESBALANCEO REAL
4h,LINKUSDT_4h,GradientBoostingClassifier,"{1: 0.5248744865358284, 0: 0.4751255134641716}",DESBALANCEO PREDICCIÓN
4h,SOLUSDT_4h,GradientBoostingClassifier,0.5216795983569147,ACC CRYPTO TEST
4h,SOLUSDT_4h,GradientBoostingClassifier,0.5207786526684164,F1 CRYPTO TEST
4h,SOLUSDT_4h,GradientBoostingClassifier,"{1: 0.5134641716111364, 0: 0.48653582838886356}",DESBALANCEO REAL
4h,SOLUSDT_4h,GradientBoostingClassifier,"{1: 0.5298950251026928, 0: 0.4701049748973072}",DESBALANCEO PREDICCIÓN
4h,TRXUSDT_4h,GradientBoostingClassifier,0.48653582838886356,ACC CRYPTO TEST
4h,TRXUSDT_4h,GradientBoostingClassifier,0.4798719217248786,F1 CRYPTO TEST
4h,TRXUSDT_4h,GradientBoostingClassifier,"{1: 0.5385668644454586, 0: 0.4614331355545413}",DESBALANCEO REAL
4h,TRXUSDT_4h,GradientBoostingClassifier,"{0: 0.6517571884984026, 1: 0.34824281150159747}",DESBALANCEO PREDICCIÓN
4h,XRPUSDT_4h,GradientBoostingClassifier,0.505705157462346,ACC CRYPTO TEST
4h,XRPUSDT_4h,GradientBoostingClassifier,0.5055716751906835,F1 CRYPTO TEST
